CTOT,W3
1003124,1.0
1003125,0.0
1046224,0.0
0908222,1.0
0908223,1.0
1003127,0.0
1003128,1.0
1003131,0.0
1726031,0.0
1003129,0.0
1003130,0.0
1046248,1.0
0908224,0.0
1003132,1.0
1003133,1.0
1003134,1.0
1003135,0.0
1003136,0.0
1726065,0.0
1003137,0.0
1003138,0.0
1003139,0.0
1003904,1.0
1531033,0.0
1003140,0.0
1003901,0.0
1003902,0.0
1003903,0.0
1531013,0.0
1531014,0.0
1531253,0.0
1531249,0.0
1531254,1.0
1531262,0.0
0753006,0.0
1620901,0.0
1620902,0.0
1620906,1.0
0111016,0.0
1531034,0.0
1531251,0.0
1531256,1.0
0753007,0.0
0111017,0.0
1531252,0.0
0111018,0.0
1531255,0.0
0111022,0.0
0111023,0.0
0111024,0.0
0753008,0.0
1110092,0.0
0111025,0.0
0111026,1.0
0111027,1.0
0111028,1.0
0753009,1.0
0111019,0.0
0111020,0.0
0111021,0.0
1531257,0.0
1531258,0.0
1531261,0.0
1726073,0.0
1110093,1.0
1110094,0.0
1531259,0.0
1531260,1.0
0222162,0.0
0222163,0.0
1012001,0.0
1012002,1.0
0111029,0.0
0111030,1.0
0111031,1.0
1531263,0.0
1531264,0.0
1531265,0.0
1531901,0.0
0111032,1.0
0111033,1.0
1620006,0.0
1620903,0.0
1620904,0.0
1620905,0.0
1012003,0.0
1012004,0.0
1012005,1.0
1012006,1.0
1012007,0.0
1012008,1.0
1012009,0.0
1012010,0.0
0244237,0.0
1012011,1.0
1012012,1.0
1012013,1.0
1012014,0.0
1012015,0.0
1012016,0.0
1012017,0.0
0253076,0.0
1012018,0.0
1012020,0.0
1012021,0.0
0753071,0.0
1012022,0.0
1012024,0.0
1110097,1.0
1110101,0.0
1110098,0.0
1531021,0.0
0253077,0.0
1110099,0.0
1110100,1.0
1531035,0.0
1531017,0.0
1531022,1.0
0114006,0.0
0114007,1.0
0114008,0.0
1531018,0.0
1531019,0.0
1531020,0.0
1110102,0.0
1110103,0.0
0111037,0.0
1620907,0.0
0111036,1.0
0250141,0.0
0111034,0.0
0111035,1.0
0753029,0.0
1110107,0.0
1110108,0.0
1110109,0.0
1110110,0.0
1110111,0.0
1110112,0.0
1110113,0.0
1653048,0.0
1110114,1.0
1653000,0.0
1648001,0.0
0709355,0.0
0111038,1.0
0111039,0.0
0705170,0.0
1110115,0.0
1110116,0.0
1110117,0.0
1110118,0.0
1110119,0.0
1110120,0.0
1531023,0.0
1531032,0.0
1531029,0.0
1531030,0.0
1531031,0.0
1531036,0.0
1531037,0.0
1553083,0.0
1531064,0.0
1110134,0.0
0111040,0.0
0111041,1.0
1726022,0.0
0111042,0.0
0111901,1.0
0111902,0.0
0111903,0.0
0114001,1.0
0114002,0.0
0114003,1.0
0114004,0.0
0114005,1.0
1110123,1.0
1232067,0.0
1110132,0.0
0114048,0.0
0114009,0.0
0114049,0.0
0118036,0.0
0114010,1.0
0114018,0.0
0114019,0.0
1110133,0.0
0114024,1.0
0114025,0.0
0114026,0.0
0114027,1.0
0114028,1.0
0114029,0.0
0114030,1.0
1648003,1.0
0114011,0.0
0114050,1.0
1110135,0.0
0114051,1.0
1648078,0.0
1648079,0.0
1110138,0.0
1648043,0.0
1648044,1.0
1648045,1.0
1648046,0.0
0222013,0.0
1110139,0.0
1648080,0.0
1012025,0.0
1012026,1.0
0222020,0.0
1110141,0.0
1012034,1.0
1110142,0.0
1648015,1.0
0114012,0.0
0114013,1.0
0114014,0.0
0222164,0.0
0114015,0.0
0114016,1.0
0114017,0.0
1531078,1.0
1648002,0.0
1648016,0.0
1648017,1.0
1648018,0.0
1648019,0.0
1648020,1.0
1648021,0.0
1648022,0.0
0114020,1.0
0114021,1.0
0114022,1.0
0114023,0.0
0114031,0.0
0114032,0.0
0114033,0.0
1726026,0.0
0114034,0.0
0114035,0.0
0114036,0.0
0114037,1.0
0114038,1.0
0114039,0.0
0114040,0.0
0114041,1.0
0114042,1.0
0114043,0.0
0114044,0.0
0114045,1.0
0114046,0.0
0114047,0.0
0222228,0.0
1648027,1.0
1531067,0.0
0114052,0.0
1648028,0.0
0114066,0.0
1648039,0.0
1648040,0.0
1648041,1.0
1648042,0.0
1531065,0.0
0118001,0.0
0114053,0.0
0114054,0.0
0114055,0.0
0114056,1.0
0114057,1.0
0114058,1.0
0114059,0.0
0114060,0.0
0114061,0.0
0114062,0.0
0114063,1.0
1531066,0.0
0709007,0.0
0114064,0.0
0114065,1.0
1648059,0.0
1648060,1.0
0114067,0.0
0114068,1.0
0114069,0.0
0114070,0.0
0114071,1.0
0747070,0.0
0114072,0.0
0114073,0.0
0114074,1.0
1012036,1.0
1648058,0.0
1648061,0.0
1648062,0.0
0114075,0.0
0114901,0.0
0114902,0.0
1531079,0.0
1215088,0.0
0118037,0.0
0118038,0.0
1648074,1.0
1648075,0.0
1648076,0.0
1648077,0.0
0118039,0.0
1046039,1.0
1012032,0.0
0705072,0.0
1531077,0.0
1012037,0.0
1227002,0.0
0118005,0.0
0118006,0.0
1227004,0.0
1227005,1.0
1110144,0.0
0118002,0.0
0118003,0.0
1227006,1.0
1110145,0.0
1046237,0.0
1012033,1.0
1046043,0.0
1046044,1.0
0118004,0.0
1046085,1.0
1110143,0.0
1046053,0.0
0118007,0.0
1046054,0.0
1227007,0.0
0118011,0.0
0118012,0.0
0118013,0.0
1227008,0.0
1227009,0.0
1227010,0.0
0118014,0.0
0118015,0.0
0118010,0.0
0118016,0.0
0118017,0.0
1648084,1.0
0118018,0.0
0118020,0.0
0118021,0.0
1046055,1.0
1227011,0.0
1648087,0.0
1227020,0.0
1227021,0.0
1227022,1.0
0118028,0.0
0118029,0.0
0250005,0.0
0118022,0.0
0118023,1.0
0118024,0.0
1046086,0.0
0118025,0.0
1531906,0.0
1648082,0.0
1648083,0.0
1227024,0.0
1227025,1.0
1531907,0.0
1531908,0.0
1227026,1.0
1553059,0.0
1046225,1.0
0118027,0.0
1553062,0.0
0118030,0.0
0118032,0.0
0118033,0.0
0118034,0.0
1553067,0.0
1553068,0.0
1553069,0.0
1553070,0.0
1553078,0.0
1531904,0.0
1531905,0.0
1553080,1.0
1553081,0.0
1110146,0.0
1553060,0.0
1553061,0.0
1553063,1.0
1553064,0.0
1553065,0.0
1553066,0.0
1110147,0.0
1110148,0.0
1046226,0.0
1227027,0.0
1227028,0.0
1046227,0.0
0705077,1.0
1601001,1.0
1601002,1.0
1601014,0.0
1046216,1.0
1726086,0.0
1648097,0.0
1648901,1.0
1648902,1.0
1648903,0.0
1232065,0.0
0705078,0.0
1726003,0.0
1232066,0.0
0709068,0.0
1531080,0.0
1531081,0.0
1232063,1.0
1232064,0.0
1232068,0.0
1046228,1.0
1232069,0.0
1232070,0.0
1232071,0.0
1232072,0.0
0118040,1.0
0118035,0.0
0118042,0.0
0118043,0.0
1232080,0.0
1232081,0.0
1232082,0.0
1726087,0.0
1232088,1.0
1046219,1.0
1046220,1.0
1110203,1.0
0705084,0.0
1232089,0.0
1232090,0.0
1232091,0.0
1046221,1.0
1236002,0.0
1236003,1.0
1236004,0.0
1046222,0.0
0118047,1.0
1236013,1.0
1046223,1.0
1046217,0.0
1046218,0.0
1046229,0.0
1046230,1.0
1726009,0.0
0118044,0.0
0250231,1.0
1726004,0.0
1726005,0.0
1726006,0.0
1726007,0.0
0250162,1.0
1726008,0.0
1726010,0.0
1046056,0.0
0250163,0.0
0118045,0.0
0118046,0.0
0753031,0.0
0118048,0.0
0118049,0.0
0753032,0.0
1726017,0.0
1726021,0.0
0753033,0.0
1726023,0.0
1726024,0.0
1046064,0.0
1046231,1.0
1726025,0.0
1046065,1.0
1046232,1.0
1046233,1.0
1046234,0.0
1046235,1.0
1046236,1.0
1046040,0.0
1046066,0.0
1046038,0.0
1726157,0.0
1046041,0.0
1046042,1.0
0753034,0.0
1046045,0.0
1046046,0.0
0250239,0.0
0250240,0.0
1046047,0.0
1046048,0.0
1012131,0.0
0118050,0.0
0705085,0.0
0118051,0.0
0118053,0.0
0118054,0.0
0118056,0.0
1110164,0.0
1046049,0.0
1046050,0.0
1046051,0.0
1046052,0.0
1046057,0.0
1046058,0.0
1046240,0.0
1046059,0.0
1046060,0.0
1046061,0.0
1046241,0.0
1046062,1.0
1046063,0.0
0753010,0.0
1046067,0.0
1046068,0.0
1046069,0.0
1726075,0.0
1046070,1.0
1236016,0.0
1236017,0.0
1110149,0.0
1726076,0.0
1110159,0.0
1046242,0.0
1110160,0.0
1110161,0.0
1110162,0.0
1110163,0.0
0250176,0.0
1046239,0.0
1726077,0.0
1046243,0.0
1046244,1.0
0250188,0.0
0250189,0.0
1046245,1.0
1110184,0.0
1236021,0.0
1236022,0.0
1236023,1.0
1236024,1.0
1110185,0.0
1110186,0.0
1110165,1.0
1110187,0.0
0709382,0.0
1110166,1.0
1012078,0.0
1110172,1.0
1726028,0.0
1726027,0.0
1726029,0.0
1726030,0.0
0118057,0.0
0753035,0.0
0118059,0.0
1110188,0.0
0753036,0.0
0753037,0.0
0753038,0.0
1110183,0.0
1012073,1.0
1110192,0.0
1012074,0.0
1012079,0.0
1012080,1.0
1046083,0.0
1012081,0.0
0753039,0.0
1726080,0.0
1726081,0.0
0129036,0.0
1046084,1.0
1012077,0.0
1012072,0.0
0753040,0.0
1012075,0.0
1012076,0.0
0222167,0.0
1046087,0.0
1046088,0.0
1046089,0.0
1726082,0.0
1726083,0.0
