CMUN,WEALTH_GINI_2020
01001,29.8
01002,27.6
01003,26.7
01004,30.3
01006,28.8
01008,26.5
01009,30.2
01010,26.4
01011,44.2
01013,28.1
01014,31.2
01016,30.8
01017,30.1
01018,27.9
01019,28.9
01020,27.8
01021,29.1
01022,33.8
01023,30.9
01027,23.7
01028,35.1
01030,32.0
01031,33.6
01032,34.7
01033,33.5
01034,44.4
01036,28.3
01037,30.0
01039,33.2
01041,36.2
01042,29.6
01043,36.4
01044,31.7
01046,30.4
01047,31.9
01049,31.8
01051,27.8
01052,31.9
01053,26.9
01054,30.4
01055,31.7
01056,24.5
01057,30.7
01058,30.0
01059,30.9
01060,38.5
01061,28.9
01062,31.7
01063,28.5
01901,28.4
01902,36.1
02001,30.0
02002,29.2
02003,31.9
02004,30.4
02005,29.6
02006,27.2
02007,30.1
02008,30.4
02009,28.7
02010,27.5
02011,31.6
02012,28.3
02013,30.1
02014,27.4
02015,28.3
02016,29.1
02017,27.1
02018,30.2
02019,25.3
02020,28.5
02021,28.6
02022,27.6
02023,30.4
02024,29.7
02025,28.2
02026,27.5
02027,32.6
02028,28.4
02029,27.4
02030,28.6
02031,29.9
02032,28.9
02033,29.8
02034,28.7
02035,27.5
02036,0.0
02037,30.5
02038,33.9
02039,30.2
02040,27.8
02041,29.6
02042,32.8
02043,27.0
02044,27.6
02045,30.0
02046,27.3
02047,37.0
02048,26.4
02049,30.3
02050,0.0
02051,28.0
02052,29.7
02053,24.2
02054,26.5
02055,28.0
02056,27.7
02057,27.1
02058,28.7
02059,29.2
02060,31.8
02061,30.8
02062,27.6
02063,27.6
02064,34.3
02065,29.4
02066,25.1
02067,28.1
02068,25.1
02069,30.0
02070,28.2
02071,27.5
02072,28.1
02073,30.3
02074,29.6
02075,27.4
02076,31.4
02077,0.0
02078,24.7
02079,27.1
02080,31.5
02081,28.0
02082,33.5
02083,28.1
02084,28.8
02085,29.2
02086,27.7
02901,26.5
03001,35.0
03002,28.6
03003,29.3
03004,34.3
03005,29.9
03006,32.9
03007,40.7
03008,25.7
03009,30.0
03010,26.6
03011,36.0
03012,33.3
03013,29.7
03014,36.7
03015,33.6
03016,39.3
03017,24.9
03018,35.3
03019,29.9
03020,28.2
03021,27.7
03022,32.4
03023,27.7
03024,28.9
03025,27.3
03026,30.6
03027,28.3
03028,25.6
03029,40.5
03030,34.0
03031,34.7
03032,24.3
03033,37.6
03034,32.6
03035,29.6
