CMUN,INCOME_PER_CAPITA_2020,INCOME_PER_HOUSEHOLD_2020
01001,14299,36393
01002,14892,36362
01003,18177,48487
01004,13622,33088
01006,15531,32914
01008,19252,49501
01009,15295,32703
01010,14854,39513
01011,12140,24642
01013,17078,42161
01014,13169,33079
01016,15548,32782
01017,14141,29717
01018,18779,47234
01019,13145,29932
01020,17502,27807
01021,16458,46358
01022,13991,32417
01023,13298,25964
01027,16753,41526
01028,12309,28519
01030,15606,29675
01031,14476,29314
01032,11563,24028
01033,12178,25706
01034,14258,34592
01036,15173,33686
01037,.,34946
01039,15356,29895
01041,12232,23941
01042,13286,34579
01043,11668,28593
01044,17936,35775
01046,15483,37028
01047,14065,36604
01049,16127,31445
01051,13034,32303
01052,15962,28008
01053,15766,40177
01054,14357,35179
01055,14948,30349
01056,14669,27078
01057,12393,27614
01058,15768,39521
01059,15291,35532
01060,13141,29678
01061,17556,38231
01062,13605,31211
01063,19914,46741
01901,14433,37186
01902,13411,33833
02001,11132,28234
02002,9596,21179
02003,12282,32861
02004,8943,20944
02005,9591,20968
02006,9297,20305
02007,9712,19990
02008,9717,23514
02009,10794,27375
02010,8818,22790
02011,11858,21803
02012,11271,27051
02013,12219,22859
02014,11256,24018
02015,9220,24673
02016,9533,19062
02017,9172,17538
02018,9849,25171
02019,9709,24869
02020,9735,20761
02021,9822,23107
02022,11548,23839
02023,10731,21660
02024,9843,24889
02025,9553,24715
02026,8235,22698
02027,10946,24801
02028,9825,18308
02029,10752,26999
02030,9487,23083
02031,9419,20659
02032,10309,20121
02033,8774,22421
02034,9664,24464
02035,10055,26654
02036,.,23519
02037,9081,24660
02038,10402,24556
02039,10320,26519
02040,11405,31914
02041,9941,17707
02042,9901,22057
02043,9855,23102
02044,9297,21225
02045,10445,27013
02046,9773,23994
02047,14711,29310
02048,9354,22933
02049,10094,19514
02050,.,23519
02051,9484,23919
02052,10152,23336
02053,8918,23203
02054,9916,24755
02055,8800,21027
02056,9006,21784
02057,9563,22488
02058,10353,18266
02059,11529,22559
02060,13202,23437
02061,10408,23168
02062,9908,20541
02063,9759,21828
02064,11029,25248
02065,11776,24225
02066,9650,21601
02067,9208,21436
02068,11471,23911
02069,9977,27320
02070,9631,20144
02071,10635,26114
02072,8351,19706
02073,9172,22247
02074,8764,23094
02075,10416,26050
02076,10600,21279
02077,.,23519
02078,8975,22242
02079,9070,24248
02080,10961,24852
02081,9942,27629
02082,10966,19202
02083,10425,21181
02084,9060,16648
02085,10819,23433
02086,9181,19623
02901,9204,25594
03001,11127,24024
03002,9723,25532
03003,12435,26634
03004,11452,26704
03005,8699,24710
03006,10137,21859
03007,13488,33041
03008,11817,24238
03009,11220,27794
03010,11393,27844
03011,9524,24799
03012,8337,19107
03013,9733,23406
03014,11621,29745
03015,8277,23947
03016,15091,26714
03017,10510,27242
03018,10451,26812
03019,9159,25067
03020,12051,24414
03021,11590,28989
03022,17732,34149
03023,11829,28955
03024,8826,25824
03025,9418,25437
03026,9803,25152
03027,10062,24283
03028,10063,23281
03029,9838,21577
03030,10033,23233
03031,10553,22939
03032,16213,33667
03033,11482,26610
03034,8610,21490
03035,11570,25983
03036,.,34236
03037,9934,21710
03038,14084,49724
03039,.,25264
03040,10114,26427
03041,9900,24481
03042,9132,21800
03043,11647,30407
03044,9098,27097
03045,8014,20397
03046,9572,25084
03047,9436,23413
03048,9326,24239
03049,8732,26191
03050,11781,29013
03051,9932,24290
03052,10804,28162
03053,10610,26060
03054,8408,22595
03055,8290,22750
03056,10102,27389
03057,9373,19212
03058,9073,26575
03059,8678,24422
03060,10107,18842
03061,8855,22195
03062,8485,19207
03063,10596,27038
03064,8178,22355
03065,9629,26758
03066,9425,23708
03067,14368,30308
03068,.,25264
03069,10322,24741
03070,7913,19949
03071,9441,26074
03072,10935,26117
03073,13299,29551
03074,8953,26015
03075,12020,23498
03076,10073,24325
03077,9324,21703
03078,7823,18189
03079,11435,29220
03080,9764,24852
03081,9106,23295
03082,9662,24863
03083,12020,28104
03084,12709,28942
03085,9410,21621
03086,11008,26909
03088,10065,27123
03089,9112,22736
03090,11678,32242
03091,10152,21345
03092,10255,27942
03093,10378,26831
03094,10242,27595
03095,9477,25964
03096,11240,27761
03097,9593,22710
03098,10695,24268
03099,9388,24339
03100,9488,21419
03101,10189,25664
03102,10232,25665
03103,11850,24573
03104,9618,25003
03105,8739,22688
03106,10664,24453
03107,9645,23310
03109,8263,25082
03110,10215,24735
03111,8479,24329
03112,11063,22927
03113,8120,19943
03114,8552,21911
03115,10015,22799
03116,9097,22730
03117,9093,22047
03118,7989,17760
03119,12182,32528
03120,8425,21006
03121,10061,24315
03122,10838,30122
03123,9922,25085
03124,11331,25227
03125,9237,24133
03127,8315,18807
03128,9305,22352
03129,12083,27732
03130,.,25264
03131,10325,25572
03132,10905,23573
03133,8335,20026
03134,11711,21304
03135,11310,25888
03136,11060,23056
03137,10103,23490
03138,9320,24359
03139,10579,26041
03140,9850,26118
03901,10360,23659
03902,9129,25753
03903,8623,22124
03904,8962,24044
04001,10192,23051
04002,10021,19984
04003,8192,23822
04004,9384,18763
04005,9994,21431
04006,8648,24615
04007,8721,17203
04008,11156,25090
04009,14196,24964
04010,8662,17725
04011,8985,22463
04012,11608,21305
04013,10937,30170
04014,10741,23279
04015,13044,26427
04016,9406,26096
04017,7647,17970
04018,11368,23457
04019,11876,21324
04020,10302,21055
04021,11390,22877
04022,8189,16742
04023,12322,27368
04024,9248,26587
04026,.,.
04027,9493,17875
04028,9867,19895
04029,8199,22986
04030,9270,19108
04031,9181,22266
04032,10610,27373
04033,12480,25731
04034,11204,23743
04035,8674,24191
04036,8778,20526
04037,10122,21513
04038,8860,23713
04041,10540,22087
04043,10047,21248
04044,9082,24059
04045,9050,20887
04046,10233,20471
04047,8893,20067
04048,8623,23421
04049,8647,23552
04050,8716,19804
04051,9245,19443
04052,10063,29897
04053,9612,28278
04054,9702,19809
04055,8446,17304
04056,10580,23977
04057,8481,18146
04058,9440,22351
04059,9538,19269
04060,9255,20328
04061,9392,20969
04062,10611,26301
04063,9641,24045
04064,9686,22709
04065,9577,20655
04066,7097,22844
04067,10241,16782
04068,11884,24897
04069,9409,25240
04070,9158,20719
04071,11658,22062
04072,7094,17565
04073,9637,16567
04074,8622,24194
04075,9810,29086
04076,10064,23182
04077,11222,20580
04078,8516,22880
04079,9416,26720
04080,10562,19587
04081,8647,20069
04082,12446,24602
04083,10906,24049
04084,10317,20869
04085,9455,21043
04086,8659,21218
04087,10242,23504
04088,8596,21238
04089,8859,20386
04090,11316,24818
04091,11287,21126
04092,10018,25134
04093,7838,18345
04094,10716,20613
04095,8832,20413
04096,11367,24100
04097,12951,23201
04098,9543,21296
04099,9626,24174
04100,9116,25422
04101,8773,24655
04102,7634,24290
04103,8755,20291
04901,10393,19519
04902,8358,25471
04903,7159,27275
04904,8196,24009
05001,12171,24795
05002,9297,22788
05005,11162,21034
05007,9069,21198
05008,9295,23947
05010,10151,20585
05012,9803,20196
05013,10430,22724
05014,9858,23231
05015,.,22904
05016,11172,28419
05017,.,22904
05018,.,22904
05019,12997,31066
05021,11285,25404
05022,10358,24934
05023,10902,28699
05024,11265,19396
05025,.,22904
05026,11015,23198
05027,12303,32864
05029,.,22904
05030,.,22904
05033,9339,23612
05034,.,22904
05035,.,26728
05036,9912,21841
05037,9527,18796
05038,10628,20916
05039,.,22904
05040,.,22904
05041,9524,21081
05042,12313,27024
05043,.,22904
05044,9304,19859
05045,.,22904
05046,.,22904
05047,9122,21515
05048,11446,20950
05049,12332,26602
05051,10528,22883
05052,.,22904
05053,.,22904
05054,8490,19159
05055,9895,19951
05056,.,22904
05057,9400,23559
05058,.,22904
05059,.,22904
05060,10642,26442
05061,10497,25765
05062,11469,25048
05063,.,22904
05064,12100,24871
05065,11763,28272
05066,9863,22185
05067,.,22904
05069,.,22904
05070,.,22904
05072,.,22904
05073,11673,25852
05074,12039,28664
05075,.,22904
05076,10821,28843
05077,10299,26388
05078,.,22904
05079,.,22904
05080,.,22904
05081,.,22904
05082,9514,20282
05083,12058,25280
05084,.,22904
05085,.,22904
05086,.,22904
05087,11565,27882
05088,.,22904
05089,10829,23525
05090,.,22904
05092,9763,23377
05093,9985,19505
05094,11993,21969
05095,10452,21392
05096,.,22904
05097,9595,19995
05099,10659,23718
05100,12192,24895
05101,13114,23290
05102,8902,21109
05103,.,22904
05104,.,22904
05105,12611,28316
05106,.,22904
05107,.,22904
05108,.,22904
05109,10553,27072
05110,9011,19826
05112,9994,21264
05113,.,22904
05114,9736,23605
05115,11979,25114
05116,.,22904
05117,10658,25320
05118,.,22904
05119,.,22904
05120,.,22904
05121,13098,31285
05122,9879,18415
05123,17872,35531
05124,.,22904
05125,.,22904
05126,.,22904
05127,9753,21394
05128,11443,30448
05129,12764,23875
05130,13035,28967
05131,.,22904
05132,10991,23341
05133,.,22904
05134,.,22904
05135,12459,25492
05136,.,22904
05138,12783,29733
05139,.,22904
05140,10488,23988
05141,.,22904
05142,.,22904
05143,.,22904
05144,.,22904
05145,.,22904
05147,11504,27584
05148,.,22904
05149,11628,19853
05151,.,22904
05152,12012,30464
05153,.,22904
05154,.,22904
05155,.,22904
05156,11013,25209
05157,15148,28104
05158,11384,20760
05159,10121,18056
05160,10524,20901
05161,10109,22730
05162,.,22904
05163,10335,21371
05164,.,22904
05165,13526,25986
05166,11936,24313
05167,11809,21140
05168,8992,21755
05169,10799,21373
05170,.,22904
05171,.,22904
05172,11097,28022
05173,.,22904
05174,.,22904
05175,9904,22793
05176,12979,27569
05177,13940,30296
05178,11255,26438
05179,11004,22266
05180,.,22904
05181,.,22904
05182,9773,19332
05183,12115,22806
05184,12226,23421
05185,10183,23041
05186,11305,26827
05187,8990,20313
05188,.,22904
05189,9291,16282
05190,.,22904
05191,10722,25403
05192,12153,22368
05193,11551,21212
05194,11551,25240
05195,13567,24023
05196,.,22904
05197,11288,26467
05198,.,22904
05199,.,22904
05200,.,22904
05201,11105,21224
05204,10664,26136
05205,.,22904
05206,.,22904
05207,8972,18998
05208,.,22904
05209,.,22904
05210,.,22904
05211,8937,20364
05212,11433,20426
05213,.,22904
05214,.,22904
05215,10591,21324
05216,10515,21771
05217,.,22904
05218,9426,18402
05219,.,22904
05220,11348,24795
05221,9456,17989
05222,10436,19046
05224,13725,32900
05225,11619,23577
05226,.,22904
05227,9387,19336
05228,9743,21185
05229,.,22904
05230,.,22904
05231,11179,25095
05232,12169,23790
05233,10743,22834
05234,.,22904
05235,13346,26675
05236,9788,17521
05237,10768,25582
05238,11429,25667
05239,11785,24937
05240,8757,21820
05241,9126,22333
05242,10836,29462
05243,.,22904
05244,.,22904
05245,12528,28970
05246,.,22904
05247,9717,19980
05249,.,18816
05251,.,22904
05252,.,22904
05253,.,22904
05254,10264,24823
05256,13508,30162
05257,11953,30940
05258,13660,19494
05259,11554,29149
05260,12567,25851
05261,.,22904
05262,10736,22192
05263,11567,22674
05264,.,22904
05265,.,22904
05266,.,22904
05267,10212,22904
05901,13899,24889
05902,12545,28860
05903,10991,18861
05904,11269,18606
05905,13613,22167
06001,9191,22139
06002,7852,21197
06003,9960,21110
06004,8863,21118
06005,8544,18516
06006,8649,20696
06007,8280,18927
06008,8727,21133
06009,10224,23677
06010,8798,20170
06011,9173,23908
06012,7976,20492
06013,8072,17590
06014,9656,23116
06015,11725,30634
06016,8767,21632
06017,7574,17119
06018,8421,16424
06019,8619,20291
06020,8671,22065
06021,8592,20163
06022,8426,19490
06023,9408,23296
06024,7969,18581
06025,9223,24025
06026,8384,18866
06027,9051,22714
06028,9342,24313
06029,8319,19392
06030,9487,17847
06031,7562,16515
06032,.,.
06033,8936,18687
06034,9330,19847
06035,10264,20748
06036,9736,23899
06037,7724,17460
06038,7841,18130
06039,8754,20796
06040,7612,20032
06041,7707,18956
06042,7727,19231
06043,9960,23680
06044,10618,27166
06045,8000,19255
06046,8678,22444
06047,8075,20050
06048,9622,22290
06049,8226,18903
06050,9451,23734
06051,7802,18066
06052,9304,24490
06053,9279,18853
06054,8559,21657
06055,7850,18282
06056,8992,18712
06057,8570,19297
06058,8819,22625
06059,9284,22043
06060,8831,22417
06061,8651,20076
06062,10955,22573
06063,9277,22018
06064,8696,17985
06065,8969,17244
06066,8182,19554
06067,9054,22117
06068,8081,18529
06069,8031,20013
06070,10020,25011
06071,8054,17055
06072,8463,20928
06073,7971,18164
06074,10774,27439
06075,9040,19550
06076,7981,18401
06077,8937,16836
06078,9040,20740
06079,8519,21454
06080,9189,22551
06081,9140,20684
06082,8676,21866
06083,11072,28545
06084,8917,22812
06085,9043,22885
06086,8326,19656
06087,8807,19297
06088,9017,22833
06089,8471,19926
06090,8124,18346
06091,9168,21152
06092,8520,19927
06093,8681,20327
06094,7800,18629
06095,8747,23109
06096,9410,18840
06097,10169,23322
06098,6979,19385
06099,7391,18432
06100,9950,19391
06101,8609,16800
06102,9167,19959
06103,9094,23511
06104,8470,19448
06105,9091,20231
06106,7733,16662
06107,7421,18108
06108,9225,22890
06109,8638,22717
06110,9267,17529
06111,7847,16955
06112,7909,17604
06113,7977,20897
06114,8277,15869
06115,8371,20526
06116,9228,19947
06117,8242,19047
06118,9673,17379
06119,8972,23942
06120,9266,23595
06121,8098,20490
06122,9159,23842
06123,8793,21819
06124,8579,19290
06125,9424,20885
06126,7412,19389
06127,9650,23069
06128,9327,24149
06129,7973,19913
06130,8306,19197
06131,9236,22244
06132,8530,20033
06133,7885,19522
06134,7870,19026
06135,8922,24657
06136,8914,20753
06137,9620,21581
06138,8547,19732
06139,9496,18624
06140,8331,18492
06141,7901,18275
06142,10887,23662
06143,8216,21653
06144,8891,18814
06145,8674,20859
06146,8279,17802
06147,9354,17388
06148,9349,21593
06149,9188,24666
06150,8702,19301
06151,8794,21364
06152,8368,20055
06153,9927,25746
06154,8043,21502
06155,8518,19774
06156,9412,23499
06157,9191,16258
06158,10777,27774
06159,7515,18392
06160,8333,19106
06161,10366,21114
06162,8692,21438
06901,8839,22375
06902,9249,23596
