,CTOT,CMUN,Municipality,CCI,Digitalization,Energy_Climate_Resources,Mobility,Waste
0,1003124,03124,Sella,0.7125591200158674,0.935892485892486,0.7499999999999999,0.2519031141868512,0.8333333333333333
1,1003125,03125,Senija,0.6471983735383449,0.9109918676917244,0.9166666666666665,0.2,0.5
2,1046224,46224,Segart,0.32468145351580935,0.9234072675790467,0.3333333333333333,0.2,0.0
3,0908222,08222,Sant Llorenç D'Hortons,0.6939562531166201,0.6203811029153495,0.9166666666666665,0.2244001626677511,0.8333333333333333
4,0908223,08223,Sant Llorenç Savall,0.4766057313780775,0.6210954826660441,0.3333333333333333,0.011933174224343668,0.8333333333333333
5,1003127,03127,Tàrbena,0.595296557209408,0.8514827860470401,0.9166666666666665,0.0,0.5
6,1003128,03128,Teulada,0.84996085431907,0.9564892532803317,0.9166666666666665,0.4183150183150183,1.0
7,1003131,03131,Tormos,0.5419354768858277,0.9511911458970284,0.7499999999999999,0.38348623853211006,0.16666666666666666
8,1726031,26031,Bobadilla,0.40576923076923077,0.6538461538461539,0.9166666666666665,0.0,0.0
9,1003129,03129,Tibi,0.6062483527900485,0.9562417639502427,0.7499999999999999,0.2,0.5
10,1003130,03130,Tollos,0.4591258741258741,0.9206293706293707,0.7499999999999999,0.0,0.16666666666666666
11,1046248,46248,Turís,0.7972541304437395,0.9612706522186972,0.9166666666666665,0.4,0.8333333333333333
12,0908224,08224,Sant Martí De Centelles,0.5714168552036198,0.6070842760180996,0.9999999999999999,0.0,0.5
13,1003132,03132,La Torre De Les Maçanes/Torremanzanas,0.7132035401522006,0.9410177007610027,0.7499999999999999,0.0,1.0
14,1003133,03133,Torrevieja,0.6850485003740233,0.9535397424002825,0.3333333333333333,0.47170275946983414,1.0
15,1003134,03134,La Vall D'Alcalà,0.6547165991902835,0.948582995951417,0.9166666666666665,0.2,0.5
16,1003135,03135,La Vall D'Ebo,0.6765384615384615,0.9326923076923077,0.9999999999999999,0.2,0.5
17,1003136,03136,La Vall De Gallinera,0.6551120667732392,0.9505603338661957,0.9166666666666665,0.2,0.5
18,1726065,26065,Galbárruli,0.23076923076923078,0.6538461538461539,0.3333333333333333,0.0,0.0
19,1003137,03137,La Vall De Laguar,0.6090655762249567,0.9347406925126842,0.7499999999999999,0.23558718861209965,0.5
20,1003138,03138,El Verger,0.654898624209349,0.9623107207162344,0.7499999999999999,0.4371824003305102,0.5
21,1003139,03139,La Vila Joiosa/Villajoyosa,0.6818463253816425,0.6229872490971181,0.9166666666666665,0.41124437781109446,0.6666666666666666
22,1003904,03904,San Isidro,0.7556923076923077,0.9534615384615385,0.9166666666666665,0.2,0.8333333333333333
23,1531033,31033,Aria,0.22307692307692306,0.6153846153846153,0.3333333333333333,0.0,0.0
24,1003140,03140,Villena,0.5825721203419992,0.6352154878231485,0.7499999999999999,0.4026451138868479,0.5
25,1003901,03901,Els Poblets,0.7469298362060978,0.9375984643821982,0.9166666666666665,0.4220507166482911,0.6666666666666666
26,1003902,03902,Pilar De La Horadada,0.6871589220324659,0.8948632918457387,0.7499999999999999,0.4159313183165907,0.6666666666666666
27,1003903,03903,Los Montesinos,0.7718216288251865,0.9532522003429932,0.9999999999999999,0.4058559437829397,0.6666666666666666
28,1531013,31013,Améscoa Baja,0.6564141521461963,0.6070707607309817,0.9166666666666665,0.3,0.6666666666666666
29,1531014,31014,Ancín/Antzin,0.44059171597633134,0.9529585798816568,0.3333333333333333,0.5,0.16666666666666666
30,1531253,31253,Bidaurreta,0.5214653528289892,0.6005085823267642,0.9166666666666665,0.38181818181818183,0.16666666666666666
31,1531249,31249,Valtierra,0.6420513128300884,0.6229564411492122,0.9166666666666665,0.21230012300123002,0.6666666666666666
32,1531254,31254,Villafranca,0.7792307692307692,0.9461538461538461,0.9999999999999999,0.2,0.8333333333333333
33,1531262,31262,Zabalza/Zabaltza,0.30964835164835164,0.5982417582417582,0.3333333333333333,0.2,0.16666666666666666
34,0753006,53006,Comunidad De Barbadillo De Herreros Y Vallejimeno (E.L.M.),0.09999999999999999,0.0,0.3333333333333333,0.0,0.0
35,1620901,20901,Mendaro,0.4758069289988013,0.6185202728306176,0.3333333333333333,0.2605143721633888,0.6666666666666666
36,1620902,20902,Lasarte-Oria,0.45788416518431097,0.621954039281,0.3333333333333333,0.4174667866405547,0.5
37,1620906,20906,Altzaga,0.46891072431218417,0.5945536215609208,0.3333333333333333,0.0,0.8333333333333333
38,0111016,11016,Chipiona,0.7371118237459834,0.9090101720136845,0.9166666666666665,0.401548946716233,0.6666666666666666
39,1531034,31034,Aribe,0.3315384615384615,0.6076923076923076,0.3333333333333333,0.3,0.16666666666666666
40,1531251,31251,Viana,0.6839181861676678,0.6307692307692307,0.9166666666666665,0.4138217000691085,0.6666666666666666
41,1531256,31256,Hiriberri/Villanueva De Aezkoa,0.3715384615384615,0.6076923076923076,0.3333333333333333,0.0,0.5
42,0753007,53007,"Comunidad De 09076, 09290, 09578, 09606 Y 09822",0.09999999999999999,0.0,0.3333333333333333,0.0,0.0
43,0111017,11017,Espera,0.5904947513586545,0.6274737567932726,0.9166666666666665,0.2,0.5
44,1531252,31252,Vidángoz/Bidankoze,0.28490161001788905,0.9245080500894454,0.3333333333333333,0.0,0.0
45,0111018,11018,El Gastor,0.6202919762556872,0.9589057560590095,0.9166666666666665,0.01755412521942654,0.5
46,1531255,31255,Villamayor De Monjardín,0.7046794871794871,0.9419871794871795,0.9166666666666665,0.45641025641025645,0.5
47,0111022,11022,La Línea De La Concepción,0.6594985857990702,0.6432319016143049,0.8333333333333333,0.40426102738104636,0.6666666666666666
48,0111023,11023,Medina Sidonia,0.6770686948519461,0.6103434742597303,0.9166666666666665,0.4,0.6666666666666666
49,0111024,11024,Olvera,0.7643737811655316,0.9121383669055021,0.9166666666666665,0.5347305389221557,0.6666666666666666
50,0753008,53008,"Comunidad De 09076, 09290, 09578 Y 09822",0.09999999999999999,0.0,0.3333333333333333,0.0,0.0
51,1110092,10092,Herguijuela,0.5073076923076923,0.9615384615384615,0.7499999999999999,0.2,0.16666666666666666
52,0111025,11025,Paterna De Rivera,0.556234008097166,0.95617004048583,0.9166666666666665,0.2,0.16666666666666666
53,0111026,11026,Prado Del Rey,0.8054235400135172,0.9521177000675862,0.9166666666666665,0.2,1.0
54,0111027,11027,El Puerto De Santa María,0.7107385215765256,0.64594502198548,0.6666666666666666,0.407747585897148,1.0
55,0111028,11028,Puerto Real,0.7686192785748807,0.6528771019788062,0.8333333333333333,0.4402192908955974,1.0
56,0753009,53009,Cabeza Alta,0.19999999999999998,0.0,0.3333333333333333,0.0,0.3333333333333333
57,0111019,11019,Grazalema,0.6529026146267525,0.630399772641152,0.9166666666666665,0.25911330049261083,0.6666666666666666
