Municipality,Charging_stations
A Arnoia,0
A Baña,0
A Bola,0
A Capela,0
A Cañiza,0
A Coruña,3
A Estrada,0
A Fonsagrada,0
A Guarda,0
A Gudiña,0
A Illa De Arousa,0
A Lama,0
A Laracha,1
A Merca,0
A Mezquita,0
A Pastoriza,0
A Peroxa,0
A Pobra De Trives,0
A Pobra Do Brollón,0
A Pobra Do Caramiñal,0
A Pontenova,0
A Rúa,0
A Teixeira,0
A Veiga,0
Ababuj,0
Abades,0
Abadiño,1
Abadía,0
Abadín,0
Abajas,0
Abaltzisketa,0
Abanilla,0
Abanto,0
Abanto Y Ciérvana-Abanto Zierbena,1
Abarca De Campos,0
Abarán,0
Abaurregaina/Abaurrea Alta,0
Abaurrepea/Abaurrea Baja,0
Abegondo,0
Abejar,0
Abejuela,0
Abella De La Conca,0
Abengibre,0
Abenójar,0
Aberin,0
Abertura,0
Abezames,0
Abia De La Obispalía,0
Abia De Las Torres,0
Abiego,0
Abizanda,0
Abla,0
Ablanque,0
Ablitas,0
Abrera,0
Abrucena,0
Abusejo,0
Abáigar,0
Abánades,0
Abárzuza/Abartzuza,0
Acebedo,0
Acebo,0
Acedera,0
Acehúche,0
Aceituna,0
Acered,0
Aceuchal,0
Adahuesca,0
Adalia,0
Adamuz,0
Adanero,0
Adeje,0
Ademuz,0
Adiós,0
Adobes,0
Ador,0
Adra,0
Adrada De Haza,0
Adrada De Pirón,0
Adradas,0
Adrados,0
Aduna,1
Agaete,0
Agallas,0
Agolada,0
Agoncillo,0
Agost,0
Agramunt,1
Agres,0
Agrón,0
Aguadulce,1
Aguarón,0
Aguas Cándidas,0
Aguasal,0
Aguatón,0
Aguaviva,0
Agudo,0
Aguilafuente,0
Aguilar De Bureba,0
Aguilar De Campoo,2
Aguilar De Campos,0
Aguilar De Codés,0
Aguilar De La Frontera,0
Aguilar De Segarra,0
Aguilar Del Alfambra,0
Aguilar Del Río Alhama,0
Aguilón,0
Agullana,0
Agullent,0
Agulo,0
Agurain/Salvatierra,0
Agón,0
Agüero,0
Agüimes,0
Ahigal,0
Ahigal De Los Aceiteros,0
Ahigal De Villarino,0
Ahillones,0
Aia,0
Aibar/Oibar,0
Aielo De Malferit,0
Aielo De Rugat,0
Aiguafreda,0
Aiguamúrcia,0
Aiguaviva,0
Aigües,0
Ainzón,0
Aisa,0
Aitona,1
Aizarnazabal,0
Ajalvir,0
Ajamil De Cameros,0
Ajangiz,0
Ajofrín,0
Alacant/Alicante,2
Alacón,0
Aladrén,0
Alaejos,1
Alagón,0
Alagón Del Río,0
Alaior,0
Alajeró,0
Alameda,0
Alameda De La Sagra,0
Alameda Del Valle,0
Alamedilla,0
Alamillo,0
Alaminos,0
Alange,0
Alanís,0
Alaquàs,1
Alar Del Rey,1
Alaraz,0
Alarba,0
Alarcón,0
Alarilla,0
Alaró,0
Alatoz,0
Alba,0
Alba De Cerrato,0
Alba De Tormes,0
Alba De Yeltes,0
Albacete,2
Albaida,0
Albaida Del Aljarafe,0
Albal,0
Albaladejo,0
Albaladejo Del Cuende,0
Albalat De La Ribera,0
Albalat Dels Sorells,0
Albalat Dels Tarongers,0
Albalate De Cinca,0
Albalate De Las Nogueras,0
Albalate De Zorita,0
Albalate Del Arzobispo,0
Albalatillo,0
Albalá,0
Albanchez,0
Albanchez De Mágina,0
Albanyà,0
