CTOT,ECR2
1003124,0.3
1003125,0.6
1046224,0.0
0908222,0.6
0908223,0.0
1003127,0.6
1003128,0.6
1003131,0.3
1726031,0.7
1003129,0.3
1003130,0.3
1046248,0.6
0908224,0.9
1003132,0.3
1003133,0.0
1003134,0.6
1003135,0.9
1003136,0.6
1726065,0.0
1003137,0.3
1003138,0.3
1003139,0.6
1003904,0.6
1531033,0.0
1003140,0.3
1003901,0.6
1003902,0.3
1003903,0.9
1531013,0.6
1531014,0.0
1531253,0.6
1531249,0.6
1531254,0.9
1531262,0.0
0753006,0.0
1620901,0.0
1620902,0.0
1620906,0.0
0111016,0.6
1531034,0.0
1531251,0.6
1531256,0.0
0753007,0.0
0111017,0.6
1531252,0.0
0111018,0.6
1531255,0.6
0111022,0.6
0111023,0.6
0111024,0.6
0753008,0.0
1110092,0.3
0111025,0.6
0111026,0.6
0111027,0.3
0111028,0.6
0753009,0.0
0111019,0.6
0111020,0.6
0111021,0.6
1531257,0.6
1531258,0.6
1531261,0.6
1726073,0.0
1110093,0.9
1110094,0.0
1531259,0.6
1531260,0.6
0222162,0.0
0222163,0.0
1012001,0.9
1012002,0.0
0111029,0.6
0111030,0.6
0111031,0.6
1531263,0.6
1531264,0.0
1531265,0.0
1531901,0.0
0111032,0.6
0111033,0.6
1620006,0.0
1620903,0.0
1620904,0.0
1620905,0.0
1012003,0.0
1012004,0.6
1012005,0.0
1012006,0.0
1012007,0.0
1012008,0.0
1012009,0.3
1012010,0.9
0244237,0.0
1012011,0.6
1012012,0.9
1012013,0.0
1012014,0.0
1012015,0.6
1012016,0.0
1012017,0.0
0253076,0.0
1012018,0.0
1012020,0.0
1012021,0.0
0753071,0.0
1012022,0.9
1012024,0.0
1110097,0.0
1110101,0.0
1110098,0.3
1531021,0.6
0253077,0.0
1110099,0.3
1110100,0.9
1531035,0.0
1531017,0.0
1531022,0.6
0114006,0.0
0114007,0.6
0114008,0.0
1531018,0.0
1531019,0.6
1531020,0.6
1110102,0.0
1110103,0.0
0111037,0.6
1620907,0.0
0111036,0.6
0250141,0.0
0111034,0.6
0111035,0.6
0753029,0.0
1110107,0.0
1110108,0.0
1110109,0.0
1110110,0.3
1110111,0.0
1110112,0.0
1110113,0.0
1653048,0.0
1110114,0.0
1653000,0.0
1648001,0.0
0709355,0.0
0111038,0.6
0111039,0.6
0705170,0.0
1110115,0.0
1110116,0.0
1110117,0.0
1110118,0.0
