CMUN,POP21
02001,748
02002,496
02003,172722
02004,681
02005,670
02006,632
02007,1153
02008,1310
02009,24388
02010,2285
02011,582
02012,2363
02014,413
02013,129
02015,1808
02016,595
02017,768
02018,1031
02019,2718
02020,496
02021,1361
02022,328
02023,564
02024,4540
02025,10077
02026,1186
02029,4344
02027,306
02028,134
02030,3557
02031,628
02032,280
02033,2447
02034,1836
02035,2554
02036,99
02037,30427
02038,311
02039,1144
02040,598
02041,363
02042,909
02043,1322
02044,1123
02045,4654
02046,1380
02047,105
02048,1483
02049,829
02050,86
02051,2038
02052,605
02053,3433
02054,536
02055,1197
02056,1963
02057,2241
02058,323
02060,1410
02059,320
02061,676
02062,401
02901,2797
02063,1584
02064,394
02065,465
02066,225
02067,1326
02068,391
02069,15401
02070,461
02071,1148
02072,1750
02073,6184
02074,7691
02075,1947
02076,327
02077,62
02078,1081
02079,4040
02080,556
02081,24978
02082,108
02083,214
02084,333
02085,328
02086,2567
03002,4906
03003,580
03004,1049
03005,12714
03006,1336
03007,243
03008,181
03009,59128
03010,408
03011,20495
03012,3396
03013,1334
03014,337304
03015,21404
03016,117
03017,498
03018,22657
03019,21088
03001,609
03020,134
03021,7113
03022,170
03023,1707
03024,5453
03025,1958
03026,2227
03027,192
03028,1083
03030,1166
03031,69118
03032,103
03033,135
03029,483
03034,3323
03035,737
03036,101
03037,501
03038,397
03039,97
03040,415
03041,11462
03042,4447
03043,3628
03044,6994
03045,426
03046,3207
03049,19273
03048,7589
03047,23530
03050,29013
03051,429
03052,1191
03053,10752
03054,425
03075,243
03055,8880
03056,11451
03057,271
03058,7427
03059,29717
03061,1757
03062,707
03063,42953
03064,7620
03065,234205
03066,52551
03067,105
03068,45
03069,7402
03077,2634
03070,4337
03072,505
03071,6223
03073,261
03074,2609
03076,15983
03078,1299
03079,23652
03080,2030
03082,27983
03083,6861
03085,883
03084,584
03086,242
03088,8500
03089,12188
03903,5123
03091,549
03092,9326
03090,25679
03093,25611
