CMUN,POPULATION_2020,POPULATION_DENSITY_KM2_2020,AGE_AVERAGE_2020,AGE_PERC_POP_BELOW_18_2020,AGE_PERC_POP_ABOVE_65_2020,HOUSING_AVERAGE_HOUSEHOLD_SIZE_2020,HOUSING_PERC_SINGLEPERSON_HOUSEHOLD_2020,NATIONALITY_PERC_SPANISH_2020,NATIONALITY_PERC_NONSPANISH_2020
01001,2901,145.42100584638914,39.4,23.1,12.5,2.61,25.5,89.9,10.099999999999994
01002,10269,106.58763717344897,44.4,17.9,22.3,2.48,26.7,93.1,6.900000000000006
01003,1432,19.60053582148514,45.4,17.8,22.7,2.64,27.6,96.8,3.200000000000003
01004,1785,65.37343882576394,42.3,20.6,17.5,2.49,28.2,94.3,5.700000000000003
01006,219,16.88287696989172,43.8,18.3,15.1,2.31,32.6,93.9,6.099999999999994
01008,1014,17.61126892215105,45.7,15.2,21.4,2.63,24.2,96.3,3.700000000000003
01009,1636,25.033664449888295,45.4,16.2,20.1,2.21,39,90.9,9.099999999999994
01010,2882,20.432307467209803,42.6,20.4,17.1,2.65,25.7,98.1,1.9000000000000057
01011,285,29.999078574649104,49.6,9.1,27.4,2.48,31.3,82.9,17.099999999999994
01013,892,9.153406771328179,46,15.4,20.7,2.49,32.4,96.3,3.700000000000003
01014,447,12.505840966104168,47.8,16.1,29.1,2.4,31.7,92.7,7.299999999999997
01016,539,4.131315500656749,49.7,12.1,27.3,2,47.2,96.1,3.9000000000000057
01017,1082,12.676909101544881,46.6,15.2,23.8,2.09,44.3,92.6,7.400000000000006
01018,1805,17.67361003255938,45.8,16.6,21.6,2.5,28.1,97.1,2.9000000000000057
01019,175,13.984559340853739,48.3,12.6,25.7,2.5,32.9,97.7,2.299999999999997
01020,395,4.683412033504117,48.8,15.2,26.1,1.88,49.1,97,3
01021,634,19.752043669377,42.7,18.3,14.5,2.82,18.2,95.9,4.099999999999994
01022,997,61.35690634231994,45,18,23.5,2.37,31.9,92.1,7.900000000000006
01023,325,18.574946227990004,48.7,12.9,26.8,2.43,26.1,89,11
01027,529,11.223563448375138,45.9,12.3,18.2,2.51,23.2,97.9,2.0999999999999943
01028,1510,39.635054730164995,43.1,19.5,21,2.4,35.1,89.5,10.5
01030,172,3.771175577871784,54.3,8.7,37.8,1.89,56,93,7
01031,1445,17.859894082759435,45.3,15.6,21.2,2.23,38.4,89,11
