CTOT,M1_surface
0104001,10474.078707191407
0104002,2903.1300483239893
0104003,49233.73976002851
0104004,273.6011536546925
0104005,340.3607945575161
0104006,54556.60995665751
0104007,775.6042679614721
0104008,658.4148968341195
0104009,363.12921563095216
0104010,5192.830050408096
0104011,8071.0202733571705
0104012,1136.8887204048006
0104013,1892443.098857643
0104014,2733.3705908265406
0104015,1417.5075079342944
0104016,9120.278892992388
0104017,296.3274164045852
0104018,590.3698704811679
0104019,0.0
0104020,0.0
0104021,938.0362034975182
0104022,1590.4608359297538
0104023,1902.0307032836477
0104024,12527.419610338657
0104026,141.98047996763842
0104027,1657.4157998876046
0104028,432.01604097581964
0104029,90942.07390600868
0104030,1670.1846833321674
0104031,13368.352014156915
0104032,10366.225185442807
0104033,489.2908546849888
0104034,281.22655628454135
0104035,292278.57279976027
0104037,1106.7790183576485
0104038,11499.475993713628
0104041,1600.6030067522563
0104043,481.8917324215689
0104044,1208.5836954221236
0104045,361.14335350631
0104046,1589.6231070998185
0104047,2367.2347152295824
0104048,8875.696361317116
0104049,12780.531122011897
0104050,1021.2316097735436
0104051,0.0
0104052,78522.125151469
0104053,233064.65983734516
0104054,304.20904481938254
0104055,0.0
0104056,827.0848187821375
0104057,2187.9437017032838
0104058,0.0
0104059,589.1604862803988
0104060,2687.723295569852
0104061,1313.9790976087127
0104062,21455.718150892022
0104063,1312.299708416849
0104064,7344.578659530605
0104065,0.0
0104066,221321.88440157872
0104067,594.2533970656581
0104068,578.2615283305516
0104069,19937.541881801466
0104070,4030.6198847296037
0104071,1507.438093300761
0104072,352.99391571460535
0104073,1623.737058883974
0104074,0.0
0104075,46751.51352986321
0104076,0.0
0104077,173.1141261664439
0104078,9468.106014774112
0104079,728616.3831605482
0104080,322.5903366167187
0104081,0.0
0104082,2093.7251262314694
0104083,13098.800098551672
0104084,0.0
0104085,3008.673492789225
0104086,35489.34597591099
0104087,547.0623773557281
0104088,8126.697858414023
0104089,2012.3310334721455
0104090,2747.7345386517836
0104091,1802.7964823031894
0104092,4701.999267670577
0104093,587.890490442024
0104094,94.36953185947468
0104095,5355.070557124172
0104096,0.0
0104097,0.0
0104098,2475.592785694605
0104099,40064.81503702905
0104100,238993.48722909103
0104101,2845.0006544695243
0104102,264626.7846107655
0104103,790.4325510780792
0104901,442.86643288919356
0104902,979025.2853942069
0104903,87809.69462917054
0104904,0.0
0111001,4298.1098595532
0111002,20053.730216701006
0111003,10956.109340846126
0111004,473770.02284475515
0111005,2161.6814578240246
0111006,93601.41582385512
0111007,93547.35187485497
0111008,227637.63290509567
0111009,5942.747028528207
0111010,53318.20303818531
0111011,39505.16232904619
