Municipality,M4_raw
A Arnoia,0
A Baña,10
A Bola,0
A Capela,0
A Cañiza,1
A Coruña,464
A Estrada,2
A Fonsagrada,8
A Guarda,8
A Gudiña,2
A Illa De Arousa,2
A Lama,2
A Laracha,29
A Merca,0
A Mezquita,3
A Pastoriza,0
A Peroxa,0
A Pobra De Trives,0
A Pobra Do Brollón,0
A Pobra Do Caramiñal,8
A Pontenova,0
A Rúa,1
A Teixeira,0
A Veiga,0
Ababuj,0
Abades,0
Abadiño,28
Abadía,0
Abadín,0
Abajas,0
Abaltzisketa,0
Abanilla,3
Abanto,0
Abanto Y Ciérvana-Abanto Zierbena,31
Abarca De Campos,0
Abarán,1
Abaurregaina/Abaurrea Alta,0
Abaurrepea/Abaurrea Baja,0
Abegondo,41
Abejar,1
Abejuela,0
Abella De La Conca,0
Abengibre,1
Abenójar,0
Aberin,1
Abertura,0
Abezames,0
Abia De La Obispalía,0
Abia De Las Torres,0
Abiego,2
Abizanda,0
Abla,2
Ablanque,0
Ablitas,1
Abrera,1
Abrucena,0
Abusejo,1
Abáigar,0
Abánades,0
Abárzuza/Abartzuza,1
Acebedo,1
Acebo,0
Acedera,0
Acehúche,0
Aceituna,0
Acered,0
Aceuchal,0
Adahuesca,1
Adalia,0
Adamuz,0
Adanero,2
Adeje,0
Ademuz,0
Adiós,1
Adobes,0
Ador,0
Adra,6
Adrada De Haza,0
Adrada De Pirón,0
Adradas,0
Adrados,0
Aduna,0
Agaete,0
Agallas,0
Agolada,4
Agoncillo,3
Agost,1
Agramunt,1
Agres,0
Agrón,2
Aguadulce,1
Aguarón,1
Aguas Cándidas,0
Aguasal,0
Aguatón,0
Aguaviva,0
Agudo,1
Aguilafuente,0
Aguilar De Bureba,0
Aguilar De Campoo,1
Aguilar De Campos,0
Aguilar De Codés,0
Aguilar De La Frontera,0
Aguilar De Segarra,8
Aguilar Del Alfambra,0
Aguilar Del Río Alhama,0
Aguilón,0
Agullana,0
Agullent,0
Agulo,0
Agurain/Salvatierra,2
Agón,0
Agüero,0
Agüimes,0
Ahigal,0
Ahigal De Los Aceiteros,0
Ahigal De Villarino,0
Ahillones,0
Aia,0
Aibar/Oibar,1
Aielo De Malferit,0
Aielo De Rugat,0
Aiguafreda,0
Aiguamúrcia,0
Aiguaviva,7
Aigües,0
Ainzón,0
Aisa,1
Aitona,0
Aizarnazabal,0
Ajalvir,7
Ajamil De Cameros,0
Ajangiz,0
Ajofrín,0
Alacant/Alicante,750
Alacón,0
Aladrén,0
Alaejos,0
Alagón,1
Alagón Del Río,0
Alaior,15
Alajeró,0
Alameda,0
Alameda De La Sagra,0
Alameda Del Valle,1
Alamedilla,1
Alamillo,0
Alaminos,0
Alange,2
Alanís,0
Alaquàs,16
Alar Del Rey,0
Alaraz,0
Alarba,0
Alarcón,0
Alarilla,0
Alaró,1
Alatoz,1
Alba,0
Alba De Cerrato,0
Alba De Tormes,0
Alba De Yeltes,0
Albacete,300
Albaida,1
Albaida Del Aljarafe,0
Albal,5
Albaladejo,0
Albaladejo Del Cuende,0
Albalat De La Ribera,0
Albalat Dels Sorells,0
Albalat Dels Tarongers,0
Albalate De Cinca,2
Albalate De Las Nogueras,0
Albalate De Zorita,1
Albalate Del Arzobispo,2
Albalatillo,0
Albalá,1
Albanchez,0
Albanchez De Mágina,3
Albanyà,1
Albares,2
Albarracín,0
Albarreal De Tajo,1
Albatana,0
Albatera,0
Albatàrrec,2
Albelda,0
Albelda De Iregua,0
Albendea,1
Albendiego,0
Albentosa,1
Alberic,0
Alberite,0
Alberite De San Juan,0
Albero Alto,0
Albero Bajo,0
Alberuela De Tubo,0
Albesa,2
Albeta,0
Albillos,0
Albinyana,14
Albiztur,0
Albocàsser,0
Alboloduy,1
Albolote,45
Albondón,1
Albons,0
Alborache,0
Alboraia/Alboraya,13
Alborea,0
Alborge,0
Albornos,0
Albox,3
Albudeite,0
Albuixech,0
Alburquerque,0
Albuñol,2
Albuñuelas,2
Albuñán,0
Alcabón,0
Alcadozo,0
Alcaine,0
Alcalalí,3
Alcalà De Xivert,9
Alcalá De Ebro,1
Alcalá De Guadaíra,50
Alcalá De Gurrea,0
Alcalá De Henares,221
Alcalá De La Selva,0
Alcalá De La Vega,0
Alcalá De Los Gazules,0
Alcalá De Moncayo,0
Alcalá Del Júcar,0
Alcalá Del Obispo,2
Alcalá Del Río,4
Alcalá Del Valle,1
Alcalá La Real,1
Alcampell,1
Alcanadre,1
Alcanar,2
Alcantarilla,7
Alcantud,0
Alcanó,0
Alcaracejos,0
Alcaraz,2
Alcarràs,6
Alcaucín,2
Alcaudete,2
Alcaudete De La Jara,0
Alcazarén,2
Alcañices,0
Alcañiz,0
Alcañizo,0
Alcoba,1
Alcobendas,215
Alcocer,0
Alcocero De Mola,0
Alcohujate,0
Alcoi/Alcoy,87
Alcolea,1
Alcolea De Calatrava,0
Alcolea De Cinca,0
Alcolea De Las Peñas,0
Alcolea De Tajo,1
Alcolea Del Pinar,0
Alcolea Del Río,0
Alcoleja,0
Alcoletge,1
Alcollarín,1
Alconaba,0
Alconada,1
Alconada De Maderuelo,0
Alconchel,0
Alconchel De Ariza,0
Alconchel De La Estrella,0
Alconera,1
Alcorcón,212
Alcorisa,0
Alcoroches,0
Alcosser,0
Alcover,0
Alcubierre,0
Alcubilla De Avellaneda,0
Alcubilla De Las Peñas,0
Alcubilla De Nogales,0
Alcubillas,0
Alcublas,0
Alcudia De Monteagud,1
Alcudia De Veo,0
Alcuéscar,0
Alcàntera De Xúquer,0
Alcàsser,0
Alcántara,0
Alcázar De San Juan,1
Alcázar Del Rey,0
Alcóntar,1
Alcúdia,38
Aldaia,37
Aldea De San Miguel,0
Aldea Del Cano,1
Aldea Del Fresno,13
Aldea Del Obispo,0
Aldea Del Rey,0
Aldea En Cabo,0
Aldea Real,0
Aldeacentenera,1
Aldeacipreste,0
Aldeadávila De La Ribera,1
Aldealafuente,0
Aldealcorvo,0
Aldealengua,0
Aldealengua De Pedraza,1
Aldealengua De Santa María,0
Aldealices,0
Aldealpozo,0
Aldealseñor,0
Aldeamayor De San Martín,3
Aldeanueva De Barbarroya,0
Aldeanueva De Ebro,0
Aldeanueva De Figueroa,0
Aldeanueva De Guadalajara,0
Aldeanueva De La Serrezuela,0
Aldeanueva De La Sierra,0
Aldeanueva De La Vera,0
Aldeanueva De San Bartolomé,2
Aldeanueva De Santa Cruz,0
Aldeanueva Del Camino,0
Aldeanueva Del Codonal,0
Aldeaquemada,0
Aldearrodrigo,0
Aldearrubia,0
Aldeaseca,1
Aldeaseca De Alba,0
Aldeaseca De La Frontera,0
Aldeasoña,0
Aldeatejada,3
Aldeavieja De Tormes,0
Aldehorno,0
Aldehuela De Jerte,1
Aldehuela De La Bóveda,2
Aldehuela De Liestos,0
Aldehuela De Periáñez,0
Aldehuela De Yeltes,0
